"bin","id","dom_ec","between","rank","power"
29,"PPP",0.0752125504569524,3,5,0.924787449543048
29,"GOO",0.0861770285781122,7.5,6,0.913822971421888
29,"POO",0.0874566592137485,3.66666666666667,7,0.912543340786251
29,"OGO",0.0999734426971945,27.8333333333333,8,0.900026557302805
29,"BBO",0.107356783125283,4,9,0.892643216874717
29,"OBB",0.117668249431776,32.5,10,0.882331750568224
29,"GOP",0.288870739613365,0,11,0.711129260386635
30,"PBP",0.0320156227485561,37.3571428571429,1,0.967984377251444
30,"GPG",0.0324162751448656,0,2,0.967583724855134
30,"OOP",0.0338548824954514,12.2619047619048,3,0.966145117504549
30,"PPP",0.0478052366918142,22.6190476190476,4,0.952194763308186
30,"GGG",0.0506049053782667,32,5,0.949395094621733
30,"GOO",0.07502558899032,9,6,0.92497441100968
30,"POO",0.0859675058927286,11.0952380952381,7,0.914032494107271
