"actor","subject","actor_2","subject_2","rule_type","rule_time","date_period","Group"
"PBB","PGG","GPG","PGG","Pile-on",170,"2021-05-17 1","1"
"GGO","BOB","GOP","BOB","Pile-on",14,"2021-05-17 1","1"
"POP","OOP","BBB","OOP","Pile-on",40,"2021-05-17 2","1"
"POO","PPO","GPG","PPO","Pile-on",17,"2021-05-17 2","1"
"POO","OGO","GPG","OGO","Pile-on",4,"2021-05-17 2","1"
"BBB","GOP","POP","GOP","Pile-on",2,"2021-05-17 2","1"
"OOP","GOP","GPG","GOP","Pile-on",2,"2021-05-17 2","1"
"BOB","OOO","POP","OOO","Pile-on",22,"2021-05-17 2","1"
"PPP","PGG","POP","PGG","Pile-on",1,"2021-05-17 2","1"
"OOO","PPO","BOB","PPO","Pile-on",17,"2021-05-17 2","1"
"PBB","PGG","BBB","PGG","Pile-on",5,"2021-05-17 2","1"
"POP","OOO","BOB","OOO","Pile-on",21,"2021-05-18 1","1"
"PGG","OOP","BBB","OOP","Pile-on",2,"2021-05-18 1","1"
"BBB","GOP","POP","GOP","Pile-on",2,"2021-05-18 1","1"
"PBB","OOP","GPG","OOP","Pile-on",11,"2021-05-18 1","1"
"BOB","PGG","OPP","PGG","Pile-on",1,"2021-05-18 1","1"
"OPP","GGG","POO","GGG","Pile-on",16,"2021-05-18 1","1"
"BBB","BOB","POP","BOB","Pile-on",1,"2021-05-18 1","1"
"OPP","PBO","BBB","PBO","Pile-on",6,"2021-05-18 1","1"
"POO","BOB","BBB","BOB","Pile-on",53,"2021-05-18 1","1"
"POO","BOB","GPG","BOB","Pile-on",39,"2021-05-18 1","1"
"OOO","GPG","BBB","GPG","Pile-on",11,"2021-05-18 1","1"
"BBB","GGG","PBB","GGG","Pile-on",25,"2021-05-18 1","1"
"BBB","PPP","POP","PPP","Pile-on",3,"2021-05-18 1","1"
"GGO","PGG","GOP","PGG","Pile-on",46,"2021-05-18 1","1"
"POP","PGG","BBB","PGG","Pile-on",13,"2021-05-18 1","1"
"BBB","PGG","BOB","PGG","Pile-on",35,"2021-05-18 1","1"
"BOB","PGG","POP","PGG","Pile-on",22,"2021-05-18 1","1"
"PBO","POO","OGO","POO","Pile-on",18,"2021-05-18 1","1"
"PBB","GGG","OBB","GGG","Pile-on",7,"2021-05-18 1","1"
"POO","GGG","OOO","GGG","Pile-on",17,"2021-05-18 1","1"
"GOO","PPP","POO","PPP","Pile-on",141,"2021-05-18 1","1"
"GGO","GOO","BBB","GOO","Pile-on",7,"2021-05-18 1","1"
"POP","POO","GOP","POO","Pile-on",2,"2021-05-18 1","1"
"POO","BOB","POP","BOB","Pile-on",301,"2021-05-18 2","1"
"BBB","POO","POP","POO","Pile-on",58,"2021-05-18 2","1"
"GGO","OBB","GPG","OBB","Pile-on",79,"2021-05-18 2","1"
"POP","BOB","GOP","BOB","Pile-on",8,"2021-05-18 2","1"
"GOP","BOB","PPP","BOB","Pile-on",80,"2021-05-18 2","1"
"PBB","PGG","OOO","PGG","Pile-on",1,"2021-05-18 2","1"
"POO","PGG","PBB","PGG","Pile-on",38,"2021-05-18 2","1"
"PBB","PGG","OOO","PGG","Pile-on",5,"2021-05-18 2","1"
"OGO","GGG","BOB","GGG","Pile-on",2,"2021-05-18 2","1"
"BOB","GGG","OPP","GGG","Pile-on",2,"2021-05-18 2","1"
"OGO","PGG","OPP","PGG","Pile-on",1,"2021-05-18 2","1"
"GOP","OGO","PPP","OGO","Pile-on",78,"2021-05-18 2","1"
"POO","BOB","GOP","BOB","Pile-on",5,"2021-05-18 2","1"
"GOP","BOB","OGO","BOB","Pile-on",169,"2021-05-18 2","1"
"POP","POO","GGO","POO","Pile-on",2,"2021-05-18 2","1"
"PBB","GOO","BOB","GOO","Pile-on",8,"2021-05-18 2","1"
"GOP","BOB","OGO","BOB","Pile-on",18,"2021-05-18 2","1"
"GGO","POO","POO","BOB","Pass-along",142,"2021-05-15 1","1"
"POO","PBB","PBB","PPO","Pass-along",339,"2021-05-15 1","1"
"BOB","GOO","GOO","GOP","Pass-along",177,"2021-05-15 1","1"
"POP","POO","POO","GGG","Pass-along",191,"2021-05-15 1","1"
"POP","OBB","OBB","PGG","Pass-along",407,"2021-05-15 1","1"
"GOO","GOP","GOP","GGG","Pass-along",375,"2021-05-15 1","1"
"GPG","GOO","GOO","PPP","Pass-along",5,"2021-05-15 1","1"
"GPG","GOO","GOO","GOP","Pass-along",50,"2021-05-15 1","1"
"GOO","GOP","GOP","OBB","Pass-along",432,"2021-05-15 1","1"
"OOO","GOO","GOO","OBB","Pass-along",102,"2021-05-15 1","1"
"PBB","GPG","GPG","GOP","Pass-along",78,"2021-05-15 1","1"
"BBB","OPP","OPP","POO","Pass-along",68,"2021-05-15 1","1"
"OPP","POO","POO","GGG","Pass-along",58,"2021-05-15 1","1"
"POO","GGG","GGG","PGG","Pass-along",706,"2021-05-15 1","1"
"GPG","GOO","GOO","GOP","Pass-along",940,"2021-05-15 1","1"
"POO","BOB","BOB","PGG","Pass-along",173,"2021-05-15 1","1"
"BBB","BOB","BOB","GGG","Pass-along",145,"2021-05-15 1","1"
"BBB","GPG","GPG","OBB","Pass-along",535,"2021-05-15 1","1"
"BOB","GGG","GGG","PGG","Pass-along",4,"2021-05-15 1","1"
"OGO","PPO","PPO","PGG","Pass-along",43,"2021-05-15 1","1"
"OGO","GGG","GGG","PGG","Pass-along",3,"2021-05-15 1","1"
"BOB","GOO","GOO","GOP","Pass-along",2,"2021-05-15 1","1"
"BOB","PBO","PBO","PGG","Pass-along",1214,"2021-05-15 1","1"
"GOO","GOP","GOP","OBB","Pass-along",1932,"2021-05-15 1","1"
"GPG","OGO","OGO","GGG","Pass-along",1434,"2021-05-15 1","1"
"POP","POO","POO","PGG","Pass-along",1476,"2021-05-15 1","1"
"BBB","BOB","BOB","GGG","Pass-along",250,"2021-05-15 1","1"
"BOB","GGG","GGG","PGG","Pass-along",151,"2021-05-15 1","1"
"OBB","GGO","GGO","OOP","Pass-along",2604,"2021-05-15 1","1"
"POO","GGG","GGG","PGG","Pass-along",392,"2021-05-15 1","1"
"GOP","OBB","OBB","PGG","Pass-along",245,"2021-05-15 1","1"
"POO","OPP","OPP","PGG","Pass-along",165,"2021-05-15 1","1"
"PBB","GPG","GPG","GOO","Pass-along",28,"2021-05-15 1","1"
"GPG","GOO","GOO","PGG","Pass-along",51,"2021-05-15 1","1"
"PBB","GOP","GOP","PGG","Pass-along",13,"2021-05-15 1","1"
"PPP","POP","POP","PBB","Pass-along",234,"2021-05-15 1","1"
"POP","PBB","PBB","PPP","Pass-along",60,"2021-05-15 1","1"
"OOP","POO","POO","BOB","Pass-along",105,"2021-05-15 1","1"
"BBB","OPP","OPP","PPO","Pass-along",1336,"2021-05-15 1","1"
"BOB","GOO","GOO","PPO","Pass-along",330,"2021-05-15 1","1"
"GPG","GOO","GOO","GOP","Pass-along",31,"2021-05-15 1","1"
