"actor_2","count","Group","groupid","rule"
"PBO",3,"Punishment Group 2","Group 2","Punishment"
"GGP",0,"Punishment Group 2","Group 2","Punishment"
"OOO",0,"Punishment Group 2","Group 2","Punishment"
"OPP",0,"Punishment Group 2","Group 2","Punishment"
"PGG",0,"Punishment Group 2","Group 2","Punishment"
"POP",0,"Punishment Group 2","Group 2","Punishment"
"PPO",0,"Punishment Group 2","Group 2","Punishment"
"BBO",11,"Punishment Group 3","Group 3","Punishment"
"GGG",6,"Punishment Group 3","Group 3","Punishment"
"GOO",2,"Punishment Group 3","Group 3","Punishment"
"GOP",2,"Punishment Group 3","Group 3","Punishment"
"PBP",1,"Punishment Group 3","Group 3","Punishment"
"GPG",0,"Punishment Group 3","Group 3","Punishment"
"OBB",0,"Punishment Group 3","Group 3","Punishment"
"OGO",0,"Punishment Group 3","Group 3","Punishment"
"POO",0,"Punishment Group 3","Group 3","Punishment"
"PPP",0,"Punishment Group 3","Group 3","Punishment"
